# This file is called loops.dat
# Filesize  MUPSV0 MUPSV2 MUPSV3 MUPSV4 MUPSV8
  1         1573 1969 1606 2561 3199 
  2         1646 1922 1686 2610 3365 
  3         1704 1912 1714 2899 3424 
  4         1728 1941 1729 2934 3454 
  5         1723 1957 1738 2968 3381 
  6         1729 1963 1744 3004 3418 
  7         1747 1968 1748 3009 3435 
  8         1750 1973 1751 3021 3450 
  10         1753 1982 1756 3017 3470 
  11         1757 1982 1757 3047 3476 
  13         1754 1979 1760 3057 3487 
  16         1760 1983 1763 3068 3499 
  19         1764 1988 1764 3076 3507 
  23         1763 1987 1765 3082 3513 
  27         1765 1990 1767 3060 3518 
  32         1769 2004 1768 3083 3445 
  38         1769 2153 1768 2949 2649 
  45         1770 2143 1770 2951 2650 
  54         1771 2155 1770 2954 2652 
  64         1771 2168 1771 2807 2654 
  76         1772 2165 1771 2958 2655 
  91         1767 2171 1772 2957 2652 
  108         1772 2164 1773 2966 2656 
  128         1772 2178 1772 2961 2656 
  152         1772 2176 1772 2959 2657 
  181         1767 2157 1766 2933 2643 
  215         1760 2120 1760 2904 2628 
  256         1751 2091 1752 2849 2599 
  304         1748 2085 1750 2826 2586 
  362         1745 2079 1747 2804 2566 
  431         1742 2065 1743 2782 2566 
  512         1742 2066 1743 2782 2564 
  609         1742 2068 1744 2781 2563 
  724         1743 2064 1743 2778 2562 
  861         1742 2064 1743 2776 2562 
  1024         1743 2064 1743 2773 2562 
  1218         1743 2063 1743 2772 2562 
  1448         1743 2064 1743 2770 2562 
  1722         1743 2063 1739 2768 2558 
  2048         1742 2066 1742 2766 2558 
  2435         1733 2037 1733 2726 2553 
  2896         1729 2027 1730 2729 2550 
  3444         1743 2072 1743 2795 2573 
  4096         1742 2069 1742 2788 2569 
  4871         1734 2048 1735 2763 2563 
  5793         1733 2044 1734 2759 2561 
  6889         1735 2055 1735 2772 2560 
  8192         1738 2068 1739 2778 2574 
  9742         1721 2036 1721 2715 2520 
  11585         1675 1974 1675 2547 2396 
  13777         1621 1887 1619 2341 2242 
  16384         1572 1807 1572 2183 2114 
  19484         1562 1791 1564 2162 2098 
  23170         1556 1782 1556 2141 2082 
  27554         1552 1774 1552 2130 2072 
  32768         1547 1776 1550 2130 2071 
  38968         1551 1772 1552 2134 2074 
  46341         1552 1775 1552 2135 2075 
  55109         1552 1777 1552 2135 2075 
  65536         1551 1776 1552 2135 2075 
  77936         1551 1776 1552 2134 2075 
  92682         1551 1776 1552 2135 2076 
  110218         1551 1775 1552 2133 2074 
  131072         1551 1776 1548 2134 2072 
